Gene,p Value,False Discovery Rate,Average Difference log fold change,Fraction of Detection in Cluster,Fraction of Detection in Other Clusters,Cluster
CBLN2,0.00,0.00,1.73,0.71,0.11,Ex1
ENC1,0.00,0.00,1.51,0.70,0.15,Ex1
AC011288.2,0.00,0.00,1.26,0.59,0.15,Ex1
TESPA1,0.00,0.00,1.22,0.52,0.09,Ex1
RP11-314P15.2,0.00,0.00,1.18,0.35,0.04,Ex1
LRRTM4,0.00,0.00,1.15,0.97,0.59,Ex1
LINC01378,0.00,0.00,1.14,0.43,0.07,Ex1
PDZD2,0.00,0.00,1.13,0.65,0.17,Ex1
FAM19A1,0.00,0.00,1.12,0.69,0.20,Ex1
HS6ST3,0.00,0.00,1.08,0.83,0.35,Ex1
LINC00507,0.00,0.00,1.02,0.32,0.03,Ex1
LINC01250,0.00,0.00,1.01,0.46,0.11,Ex1
DGKB,0.00,0.00,0.97,0.78,0.33,Ex1
RP11-191L9.4,0.00,0.00,0.95,0.57,0.18,Ex1
HPCAL1,0.00,0.00,0.90,0.40,0.08,Ex1
MLIP,0.00,0.00,0.90,0.47,0.12,Ex1
R3HDM1,0.00,0.00,0.89,0.84,0.43,Ex1
RGS6,0.00,0.00,0.88,0.65,0.22,Ex1
NGEF,0.00,0.00,0.86,0.44,0.12,Ex1
LDB2,0.00,0.00,0.85,0.75,0.31,Ex1
CHRM3,0.00,0.00,0.84,0.76,0.33,Ex1
SORBS2,0.00,0.00,0.83,0.67,0.27,Ex1
NRGN,0.00,0.00,0.83,0.62,0.22,Ex1
ADGRL2,0.00,0.00,0.82,0.64,0.26,Ex1
CUX2,0.00,0.00,0.81,0.43,0.12,Ex1
CAMK2N1,0.00,0.00,0.80,0.56,0.22,Ex1
KCNIP4,0.00,0.00,0.80,1.00,0.84,Ex1
CAMK2A,0.00,0.00,0.78,0.54,0.20,Ex1
ARPP19,0.00,0.00,0.78,0.45,0.15,Ex1
SERPINE2,0.00,0.00,0.78,0.30,0.05,Ex1
CACNG3,0.00,0.00,0.77,0.43,0.14,Ex1
CHN1,0.00,0.00,0.76,0.74,0.33,Ex1
PCDH7,0.00,0.00,0.75,0.73,0.35,Ex1
KCTD16,0.00,0.00,0.75,0.72,0.32,Ex1
ST6GALNAC5,0.00,0.00,0.75,0.56,0.21,Ex1
ATRNL1,0.00,0.00,0.74,0.87,0.49,Ex1
KALRN,0.00,0.00,0.74,0.84,0.45,Ex1
PHACTR1,0.00,0.00,0.73,0.89,0.53,Ex1
ERICH1-AS1,0.00,0.00,0.73,0.50,0.19,Ex1
LINC01122,0.00,0.00,0.73,0.48,0.17,Ex1
KCNQ5,0.00,0.00,0.73,0.84,0.45,Ex1
ASIC2,0.00,0.00,0.72,0.84,0.44,Ex1
ATP2B1,0.00,0.00,0.72,0.74,0.39,Ex1
FLRT2,0.00,0.00,0.72,0.60,0.25,Ex1
AC007563.5,0.00,0.00,0.70,0.33,0.09,Ex1
PRKCB,0.00,0.00,0.70,0.72,0.36,Ex1
NDST3,0.00,0.00,0.70,0.47,0.16,Ex1
MAST3,0.00,0.00,0.69,0.35,0.10,Ex1
CAMKK1,0.00,0.00,0.69,0.32,0.09,Ex1
MEG3,0.00,0.00,0.69,0.98,0.79,Ex1
GPC6,0.00,0.00,0.68,0.44,0.19,Ex1
HOMER1,0.00,0.00,0.68,0.44,0.17,Ex1
DLGAP1-AS4,0.00,0.00,0.68,0.27,0.07,Ex1
KIAA1211L,0.00,0.00,0.67,0.36,0.11,Ex1
LRFN5,0.00,0.00,0.67,0.74,0.39,Ex1
CDH12,0.00,0.00,0.67,0.75,0.37,Ex1
KCTD1,0.00,0.00,0.66,0.43,0.15,Ex1
BAIAP2,0.00,0.00,0.66,0.30,0.08,Ex1
NELL1,0.00,0.00,0.66,0.55,0.23,Ex1
LY86-AS1,0.00,0.00,0.65,0.28,0.08,Ex1
IQCJ-SCHIP1,0.00,0.00,0.65,0.77,0.42,Ex1
CREG2,0.00,0.00,0.65,0.45,0.18,Ex1
CAMKV,0.00,0.00,0.64,0.35,0.13,Ex1
TMEM178B,0.00,0.00,0.64,0.69,0.36,Ex1
SHISA9,0.00,0.00,0.64,0.53,0.22,Ex1
PDE7B,0.00,0.00,0.64,0.45,0.16,Ex1
NECAB1,0.00,0.00,0.64,0.54,0.21,Ex1
SYN3,0.00,0.00,0.63,0.60,0.26,Ex1
DLGAP2,0.00,0.00,0.63,0.42,0.17,Ex1
ITPR1,0.00,0.00,0.63,0.48,0.20,Ex1
RFTN1,0.00,0.00,0.63,0.28,0.08,Ex1
CELF2,0.00,0.00,0.63,0.82,0.49,Ex1
