Category,Coding,Medication_ATC_code,Drug_name
paracetamol,2038460150,N02BE01,Acetaminophen
aspirin,1140868226,A01AD05 |B01AC06 |N02BA01,Acetylsalicylic Acid
ibuprofen,1140871310,C01EB16 |G02CC01 |M01AE01 |M02AA13 |R02AX02,Ibuprofen
simvastatin,1140861958,C10AA01,Simvastatin
glucosamine product,1141188442,M01AX05,Glucosamine
omeprazole,1140865634,A02BC01,Omeprazole
cod liver oil capsule,1140909674,A11CB,Cod Liver Oil
bendroflumethiazide,1141194794,C03AA01,Bendroflumethiazide
ramipril,1140860806,C09AA05,Ramipril
amlodipine,1140879802,C08CA01,Amlodipine
levothyroxine sodium,1141191044,H03AA01,Levothyroxine
atenolol,1140866738,C07AB03,Atenolol
omega-3/fish oil supplement,1193,C10AX06,Fish Oil
lansoprazole,1140864752,A02BC03,Lansoprazole
atorvastatin,1141146234,C10AA05,Atorvastatin
multivitamins,1140852976,A11BA,Multivitamin
ventolin 100micrograms inhaler,1140861998,R03AC02 |R03CC02,Salbutamol
metformin,1140884600,A10BA02,Metformin
lisinopril,1140860696,C09AA03,Lisinopril
co-codamol,1140923346,N02AJ06,Acetaminophen |Codeine
diclofenac,1140884488,D11AX18 |M01AB05 |M02AA15 |S01BC03,Diclofenac
amitriptyline,1140879616,N06AA09,Amitriptyline
citalopram,1140921600,N06AB04,Citalopram
ranitidine,1140879406,A02BA02,Ranitidine
bisoprolol,1140879760,C07AB07,Bisoprolol
evening primrose oil,1140916682,D11AX02,Evening Primrose Oil
perindopril,1140888560,C09AA04,Perindopril
multivitamin+mineral preparations,1140876592,A11AA,Mineral |Multivitamin
chondroitin product,1187,M01AX25,Chondroitin Sulfate
vitamin c product,1140909726,A11GA,Vitamin C
alendronate sodium,1140922174,M05BA04,Alendronic Acid
doxazosin,1140879778,C02CA04,Doxazosin
cetirizine,1140883504,R06AE07,Cetirizine
seretide 50 evohaler,1141176832,R03AK06,Salmeterol |Fluticasone Propionate
salbutamol,1140881856,R03AC02 |R03CC02,Salbutamol
allopurinol,1140875408,M04AA01,Allopurinol
fluoxetine,1140879540,N06AB03,Fluoxetine
candesartan cilexetil,1141156836,C09CA06,Candesartan
thyroxine product,1140884516,H03AA01,Levothyroxine
tramadol,1140864992,N02AX02,Tramadol
insulin product,1140883066,A10A,Insulin
calcichew d3 tablet,1140871050,A12AX,Cholecalciferol |Calcium Carbonate
warfarin,1140888266,B01AA03,Warfarin
losartan,1140916356,C09CA01,Losartan
gliclazide,1140874744,A10BB09,Gliclazide
tamsulosin,1140926934,G04CA02,Tamsulosin
beclometasone,1140909786,A07EA07 |D07AC15 |R01AD01 |R03BA01,Beclomethasone Dipropionate
folic acid product,1140870422,B03BB01,Folic Acid
felodipine,1140888646,C08CA02,Felodipine
adcal-d3 1.5g/10micrograms chewable tablet,1141164828,A12AX,Cholecalciferol |Calcium Carbonate
irbesartan,1141152998,C09CA04,Irbesartan
enalapril,1140888552,C09AA02,Enalapril
furosemide,1140909708,C03CA01,Furosemide
loratadine,1140862772,R06AX13,Loratadine
vitamin b compound tablet,1140871024,A11EA,Vitamin B
lipitor 10mg tablet,1141146138,C10AA05,Atorvastatin
naproxen,1140871462,G02CC02 |M01AE02 |M02AA12,Naproxen
clopidogrel,1141168318,B01AC04,Clopidogrel
propranolol,1140879842,C07AA05,Propranolol
quinine,1140874420,P01BC01,Quinine
zinc product,1140888538,A12CB,Zinc
beconase 50micrograms nasal spray,1140876136,R01AD01,Beclomethasone Dipropionate
salbutamol 100micrograms spacehaler,1140926606,R03AC02,Salbutamol
aspirin 75mg tablet,1140861806,A01AD05 |B01AC06 |N02BA01,Acetylsalicylic Acid
co-dydramol,1140923350,N02AJ01,Acetaminophen |Dihydrocodeine
rosuvastatin,1141192410,C10AA07,Rosuvastatin
symbicort 100/6 turbohaler,1141174520,R03AK07,Formoterol |Budesonide
becotide 50 inhaler,1140862382,R03BA01,Beclomethasone Dipropionate
calcium salts,1140870788,A12AA20,Calcium
ezetimibe,1141192736,C10AX09,Ezetimibe
prednisolone,1140874930,A07EA01 |C05AA04 |D07AA03 |D07XA02 |H02AB06 |R01AD02 |S01BA04 |S01CB02 |S02BA03 |S03BA02,Prednisolone
ferrous sulphate,1140870390,B03AA07,Iron
bendrofluazide,1140866122,C03AA01,Bendroflumethiazide
ginkgo forte tablet,1140911734,N06DX02,Ginkgo Biloba
methotrexateb,1140869848,L01BA01 |L04AX03,Methotrexate
